sequence,batchId,catalog,id,name,tier,gridW,gridH,aspect,resolution,targetFile,finalFile,currentBytes,replacementReasons,promptSource,prompt,negative
84,materials-replacement-01,materials,flint,Кремень,1,1,1,1:1,1024x1024,art-candidates/items/materials/flint.webp,icons/items/materials/flint.webp,24790,untracked-development-placeholder; deterministic-baseline-category,fallback,"Concept ""Кремень"", a single practical fantasy mineral or workshop material, common raw low-tier reagent, rough practical gathering quality, centered inventory composition, single isolated fantasy RPG inventory icon, centered, full object visible, plain dark or transparent background, sharp painterly detail, Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 1x1 grid footprint, 1:1, 1024x1024. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered background, multiple unrelated objects, human hands, human face, nsfw"
85,materials-replacement-01,materials,herb_common,Обычная трава,1,1,1,1:1,1024x1024,art-candidates/items/materials/herb_common.webp,icons/items/materials/herb_common.webp,28878,untracked-development-placeholder; deterministic-baseline-category,fallback,"Concept ""Обычная трава"", a gathered fantasy botanical reagent bundle, common raw low-tier reagent, rough practical gathering quality, centered inventory composition, single isolated fantasy RPG inventory icon, centered, full object visible, plain dark or transparent background, sharp painterly detail, Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 1x1 grid footprint, 1:1, 1024x1024. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered background, multiple unrelated objects, human hands, human face, nsfw"
86,materials-replacement-01,materials,herb_healing,Целебный лист,1,1,1,1:1,1024x1024,art-candidates/items/materials/herb_healing.webp,icons/items/materials/herb_healing.webp,28674,untracked-development-placeholder; deterministic-baseline-category,docs/content/monster-loot-prompts.json,"Concept ""Целебный лист"", fantasy harvest material — dried gland herb bundle resin flecks twine wrap, single isolated fantasy RPG harvest trophy reagent icon, centered, transparent or plain dark background, inventory composition, sharp focus, painterly detail, alpine pack-beast alpha musk trophy read atmosphere, tier 3 drop read Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 1x1 grid footprint, 1:1, 1024x1024. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered wide shot, multiple objects collage, human face full portrait, nsfw"
87,materials-replacement-01,materials,mushroom_bog,Болотный гриб,1,1,1,1:1,1024x1024,art-candidates/items/materials/mushroom_bog.webp,icons/items/materials/mushroom_bog.webp,27344,untracked-development-placeholder; deterministic-baseline-category,docs/content/monster-loot-prompts.json,"Concept ""Болотный гриб"", fantasy harvest material — dried gland herb bundle resin flecks twine wrap, single isolated fantasy RPG harvest trophy reagent icon, centered, transparent or plain dark background, inventory composition, sharp focus, painterly detail, wetland predator trail dressing damp moss atmosphere, tier 2 drop read Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 1x1 grid footprint, 1:1, 1024x1024. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered wide shot, multiple objects collage, human face full portrait, nsfw"
88,materials-replacement-01,materials,oil_flask,Масло (фляга),1,1,1,1:1,1024x1024,art-candidates/items/materials/oil_flask.webp,icons/items/materials/oil_flask.webp,23904,untracked-development-placeholder; deterministic-baseline-category,fallback,"Concept ""Масло (фляга)"", a fantasy alchemical reagent vial, sealed pouch or organic harvest component, common raw low-tier reagent, rough practical gathering quality, centered inventory composition, single isolated fantasy RPG inventory icon, centered, full object visible, plain dark or transparent background, sharp painterly detail, Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 1x1 grid footprint, 1:1, 1024x1024. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered background, multiple unrelated objects, human hands, human face, nsfw"
89,materials-replacement-01,materials,pine_wood,Сосновая доска,1,1,1,1:1,1024x1024,art-candidates/items/materials/pine_wood.webp,icons/items/materials/pine_wood.webp,29012,untracked-development-placeholder; deterministic-baseline-category,fallback,"Concept ""Сосновая доска"", a bundle of fantasy timber, carved root, plank or rare wood sample, common raw low-tier reagent, rough practical gathering quality, centered inventory composition, single isolated fantasy RPG inventory icon, centered, full object visible, plain dark or transparent background, sharp painterly detail, Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 1x1 grid footprint, 1:1, 1024x1024. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered background, multiple unrelated objects, human hands, human face, nsfw"
90,materials-replacement-01,materials,raw_fiber,Сырое волокно,1,1,1,1:1,1024x1024,art-candidates/items/materials/raw_fiber.webp,icons/items/materials/raw_fiber.webp,26670,untracked-development-placeholder; deterministic-baseline-category,fallback,"Concept ""Сырое волокно"", a coiled fantasy textile material, thread spool, fabric fold or rope bundle, common raw low-tier reagent, rough practical gathering quality, centered inventory composition, single isolated fantasy RPG inventory icon, centered, full object visible, plain dark or transparent background, sharp painterly detail, Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 1x1 grid footprint, 1:1, 1024x1024. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered background, multiple unrelated objects, human hands, human face, nsfw"
91,materials-replacement-01,materials,rope,Верёвка,1,1,1,1:1,1024x1024,art-candidates/items/materials/rope.webp,icons/items/materials/rope.webp,21778,untracked-development-placeholder; deterministic-baseline-category,fallback,"Concept ""Верёвка"", a coiled fantasy textile material, thread spool, fabric fold or rope bundle, common raw low-tier reagent, rough practical gathering quality, centered inventory composition, single isolated fantasy RPG inventory icon, centered, full object visible, plain dark or transparent background, sharp painterly detail, Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 1x1 grid footprint, 1:1, 1024x1024. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered background, multiple unrelated objects, human hands, human face, nsfw"
92,materials-replacement-01,materials,small_pelt_uncured,Небольшая шкура (сырая),1,1,1,1:1,1024x1024,art-candidates/items/materials/small_pelt_uncured.webp,icons/items/materials/small_pelt_uncured.webp,23852,untracked-development-placeholder; deterministic-baseline-category,docs/content/monster-loot-prompts.json,"Concept ""Небольшая шкура (сырая)"", fantasy harvest material — folded uncured hide fur edge scale plates subtle salt cure beginning, single isolated fantasy RPG harvest trophy reagent icon, centered, transparent or plain dark background, inventory composition, sharp focus, painterly detail, vermin scrap ash-bog grit humble hunt yield atmosphere, tier 1 drop read Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 1x1 grid footprint, 1:1, 1024x1024. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered wide shot, multiple objects collage, human face full portrait, nsfw"
93,materials-replacement-01,materials,stone,Камень,1,1,1,1:1,1024x1024,art-candidates/items/materials/stone.webp,icons/items/materials/stone.webp,26390,untracked-development-placeholder; deterministic-baseline-category,fallback,"Concept ""Камень"", a single fantasy gem, crystal shard or mineral specimen with readable facets, common raw low-tier reagent, rough practical gathering quality, centered inventory composition, single isolated fantasy RPG inventory icon, centered, full object visible, plain dark or transparent background, sharp painterly detail, Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 1x1 grid footprint, 1:1, 1024x1024. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered background, multiple unrelated objects, human hands, human face, nsfw"
94,materials-replacement-01,materials,tanned_leather,Выделанная кожа,1,1,1,1:1,1024x1024,art-candidates/items/materials/tanned_leather.webp,icons/items/materials/tanned_leather.webp,24576,untracked-development-placeholder; deterministic-baseline-category,fallback,"Concept ""Выделанная кожа"", a folded fantasy hide, pelt, scale sheet or cured leather crafting material, common raw low-tier reagent, rough practical gathering quality, centered inventory composition, single isolated fantasy RPG inventory icon, centered, full object visible, plain dark or transparent background, sharp painterly detail, Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 1x1 grid footprint, 1:1, 1024x1024. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered background, multiple unrelated objects, human hands, human face, nsfw"
95,materials-replacement-01,materials,wisp_moth_powder,Пыльца ночных мотыльков,1,1,1,1:1,1024x1024,art-candidates/items/materials/wisp_moth_powder.webp,icons/items/materials/wisp_moth_powder.webp,23990,untracked-development-placeholder; deterministic-baseline-category,docs/content/monster-loot-prompts.json,"Concept ""Пыльца ночных мотыльков"", fantasy harvest material — dried gland herb bundle resin flecks twine wrap, single isolated fantasy RPG harvest trophy reagent icon, centered, transparent or plain dark background, inventory composition, sharp focus, painterly detail, vermin scrap ash-bog grit humble hunt yield atmosphere, tier 1 drop read Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 1x1 grid footprint, 1:1, 1024x1024. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered wide shot, multiple objects collage, human face full portrait, nsfw"
96,materials-replacement-01,materials,avian_keel_bone,Киль птицеящера,2,1,1,1:1,1024x1024,art-candidates/items/materials/avian_keel_bone.webp,icons/items/materials/avian_keel_bone.webp,23910,untracked-development-placeholder; deterministic-baseline-category,docs/content/monster-loot-prompts.json,"Concept ""Киль птицеящера"", fantasy harvest material — lightweight beast bone keel ridge marrow hollow, single isolated fantasy RPG harvest trophy reagent icon, centered, transparent or plain dark background, inventory composition, sharp focus, painterly detail, alpine pack-beast alpha musk trophy read atmosphere, tier 3 drop read Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 1x1 grid footprint, 1:1, 1024x1024. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered wide shot, multiple objects collage, human face full portrait, nsfw"
97,materials-replacement-02,materials,bristle_keg_rings,Кольца из щетины кабана,2,1,1,1:1,1024x1024,art-candidates/items/materials/bristle_keg_rings.webp,icons/items/materials/bristle_keg_rings.webp,21610,untracked-development-placeholder; deterministic-baseline-category,docs/content/monster-loot-prompts.json,"Concept ""Кольца из щетины кабана"", fantasy harvest material — bristle rings bundled hog trophy craft rings, single isolated fantasy RPG harvest trophy reagent icon, centered, transparent or plain dark background, inventory composition, sharp focus, painterly detail, wetland predator trail dressing damp moss atmosphere, tier 2 drop read Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 1x1 grid footprint, 1:1, 1024x1024. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered wide shot, multiple objects collage, human face full portrait, nsfw"
98,materials-replacement-02,materials,bronze_ingot,Бронзовый слиток,2,1,1,1:1,1024x1024,art-candidates/items/materials/bronze_ingot.webp,icons/items/materials/bronze_ingot.webp,28846,untracked-development-placeholder; deterministic-baseline-category,fallback,"Concept ""Бронзовый слиток"", a single forged fantasy metal ingot or refined metal bar with stamped workshop marks, workshop-grade prepared material, cleaned and usable, modest fantasy craft, centered inventory composition, single isolated fantasy RPG inventory icon, centered, full object visible, plain dark or transparent background, sharp painterly detail, Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 1x1 grid footprint, 1:1, 1024x1024. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered background, multiple unrelated objects, human hands, human face, nsfw"
99,materials-replacement-02,materials,fine_cloth,Тонкая ткань,2,1,1,1:1,1024x1024,art-candidates/items/materials/fine_cloth.webp,icons/items/materials/fine_cloth.webp,26310,untracked-development-placeholder; deterministic-baseline-category,fallback,"Concept ""Тонкая ткань"", a coiled fantasy textile material, thread spool, fabric fold or rope bundle, workshop-grade prepared material, cleaned and usable, modest fantasy craft, centered inventory composition, single isolated fantasy RPG inventory icon, centered, full object visible, plain dark or transparent background, sharp painterly detail, Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 1x1 grid footprint, 1:1, 1024x1024. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered background, multiple unrelated objects, human hands, human face, nsfw"
100,materials-replacement-02,materials,forge_coal,Кузнечный кокс,2,1,1,1:1,1024x1024,art-candidates/items/materials/forge_coal.webp,icons/items/materials/forge_coal.webp,26200,untracked-development-placeholder; deterministic-baseline-category,fallback,"Concept ""Кузнечный кокс"", a single practical fantasy mineral or workshop material, workshop-grade prepared material, cleaned and usable, modest fantasy craft, centered inventory composition, single isolated fantasy RPG inventory icon, centered, full object visible, plain dark or transparent background, sharp painterly detail, Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 1x1 grid footprint, 1:1, 1024x1024. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered background, multiple unrelated objects, human hands, human face, nsfw"
101,materials-replacement-02,materials,glass,Стекло,2,1,1,1:1,1024x1024,art-candidates/items/materials/glass.webp,icons/items/materials/glass.webp,21422,untracked-development-placeholder; deterministic-baseline-category,fallback,"Concept ""Стекло"", a single practical fantasy mineral or workshop material, workshop-grade prepared material, cleaned and usable, modest fantasy craft, centered inventory composition, single isolated fantasy RPG inventory icon, centered, full object visible, plain dark or transparent background, sharp painterly detail, Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 1x1 grid footprint, 1:1, 1024x1024. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered background, multiple unrelated objects, human hands, human face, nsfw"
102,materials-replacement-02,materials,granite,Гранит,2,1,1,1:1,1024x1024,art-candidates/items/materials/granite.webp,icons/items/materials/granite.webp,26096,untracked-development-placeholder; deterministic-baseline-category,fallback,"Concept ""Гранит"", a single practical fantasy mineral or workshop material, workshop-grade prepared material, cleaned and usable, modest fantasy craft, centered inventory composition, single isolated fantasy RPG inventory icon, centered, full object visible, plain dark or transparent background, sharp painterly detail, Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 1x1 grid footprint, 1:1, 1024x1024. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered background, multiple unrelated objects, human hands, human face, nsfw"
103,materials-replacement-02,materials,oak_wood,Дубовая доска,2,1,1,1:1,1024x1024,art-candidates/items/materials/oak_wood.webp,icons/items/materials/oak_wood.webp,30814,untracked-development-placeholder; deterministic-baseline-category,fallback,"Concept ""Дубовая доска"", a bundle of fantasy timber, carved root, plank or rare wood sample, workshop-grade prepared material, cleaned and usable, modest fantasy craft, centered inventory composition, single isolated fantasy RPG inventory icon, centered, full object visible, plain dark or transparent background, sharp painterly detail, Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 1x1 grid footprint, 1:1, 1024x1024. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered background, multiple unrelated objects, human hands, human face, nsfw"
104,materials-replacement-02,materials,poison_fang,Ядовитый клык,2,1,1,1:1,1024x1024,art-candidates/items/materials/poison_fang.webp,icons/items/materials/poison_fang.webp,24220,untracked-development-placeholder; deterministic-baseline-category,fallback,"Concept ""Ядовитый клык"", a fantasy monster trophy material or preserved anatomical crafting component, workshop-grade prepared material, cleaned and usable, modest fantasy craft, centered inventory composition, single isolated fantasy RPG inventory icon, centered, full object visible, plain dark or transparent background, sharp painterly detail, Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 1x1 grid footprint, 1:1, 1024x1024. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered background, multiple unrelated objects, human hands, human face, nsfw"
105,materials-replacement-02,materials,quartz,Кварц,2,1,1,1:1,1024x1024,art-candidates/items/materials/quartz.webp,icons/items/materials/quartz.webp,25318,untracked-development-placeholder; deterministic-baseline-category,fallback,"Concept ""Кварц"", a single fantasy gem, crystal shard or mineral specimen with readable facets, workshop-grade prepared material, cleaned and usable, modest fantasy craft, centered inventory composition, single isolated fantasy RPG inventory icon, centered, full object visible, plain dark or transparent background, sharp painterly detail, Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 1x1 grid footprint, 1:1, 1024x1024. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered background, multiple unrelated objects, human hands, human face, nsfw"
106,materials-replacement-02,materials,root_bitter,Горький корень,2,1,1,1:1,1024x1024,art-candidates/items/materials/root_bitter.webp,icons/items/materials/root_bitter.webp,29182,untracked-development-placeholder; deterministic-baseline-category,fallback,"Concept ""Горький корень"", a bundle of fantasy timber, carved root, plank or rare wood sample, workshop-grade prepared material, cleaned and usable, modest fantasy craft, centered inventory composition, single isolated fantasy RPG inventory icon, centered, full object visible, plain dark or transparent background, sharp painterly detail, Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 1x1 grid footprint, 1:1, 1024x1024. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered background, multiple unrelated objects, human hands, human face, nsfw"
107,materials-replacement-02,materials,serpent_sac_mild,Слабая змеиная желчь,2,1,1,1:1,1024x1024,art-candidates/items/materials/serpent_sac_mild.webp,icons/items/materials/serpent_sac_mild.webp,23622,untracked-development-placeholder; deterministic-baseline-category,docs/content/monster-loot-prompts.json,"Concept ""Слабая змеиная желчь"", fantasy harvest material — visceral sac bulb stoppered wax cord alchemical, single isolated fantasy RPG harvest trophy reagent icon, centered, transparent or plain dark background, inventory composition, sharp focus, painterly detail, wetland predator trail dressing damp moss atmosphere, tier 2 drop read Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 1x1 grid footprint, 1:1, 1024x1024. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered wide shot, multiple objects collage, human face full portrait, nsfw"
